;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Troms›;EE;LV;LT
21-03-2014;196,3;187,53;187,53;187,53;187,53;248,46;172,29;172,29;193,49;193,41;193,49;212,52;212,52;212,52;248,46;358,81;358,81
22-03-2014;202,6;195,23;195,23;195,23;195,23;351,56;195,23;195,23;195,23;195,23;195,23;215,75;215,75;215,75;351,56;394,88;394,88
23-03-2014;198,37;195,02;195,02;195,02;195,02;200,94;196,96;197,2;194,34;194,17;194,34;213,94;213,94;213,94;200,94;345,28;345,28
24-03-2014;230,34;233,06;233,06;233,06;256,08;248,03;253,53;258,95;225,77;219,56;217,95;233,61;233,61;233,61;248,03;343,98;343,98
25-03-2014;228,2;228,51;228,51;229,26;229,26;241,24;229,26;229,26;229,26;229,26;222,42;233,69;233,69;233,69;241,24;338;338
26-03-2014;227,98;226,69;226,69;226,69;226,69;252,15;226,19;226,69;226,69;223,42;225,27;230,73;230,73;230,73;315,74;360,84;360,84
27-03-2014;234,21;234,06;234,06;234,06;234,06;282,53;234,8;234,8;231,42;230,75;229,57;235,11;235,11;235,11;282,53;299,19;299,19
28-03-2014;236,13;239,57;239,57;239,57;239,57;272,2;239,57;239,57;235,32;227,78;227,78;239,57;239,57;239,57;272,2;272,25;272,25
29-03-2014;223,25;222,08;222,08;222,08;222,08;241,78;226,8;226,8;221,93;221,93;221,93;222,08;222,08;222,08;241,78;241,78;241,78
30-03-2014;221,39;220,03;220,03;220,03;220,03;248,59;230,03;230,03;219,99;219,99;219,99;220,05;220,05;220,05;248,85;254,67;254,67
31-03-2014;243,63;252,27;252,27;252,27;252,27;330,27;258,52;258,51;228,74;228,74;228,74;252,27;252,27;252,27;330,27;344,2;344,2
01-04-2014;261,83;295,73;295,73;295,73;295,73;308;295,73;295,73;223,86;223,86;223,86;295,73;295,73;295,73;308;391,51;391,51
02-04-2014;257,76;291,24;291,24;291,24;291,24;301,28;291,24;291,24;264,06;223,9;225,3;291,24;291,24;291,24;301,28;388,01;388,01
03-04-2014;244,75;273,96;273,96;273,96;273,96;290,54;272,81;273,96;235,84;215,85;217,22;273,96;273,96;262,75;290,54;415,98;415,98
04-04-2014;231,15;237,15;237,15;237,15;237,15;329,28;235,91;237,15;228,93;214,03;214,34;241,03;241,03;241,03;329,28;413,29;413,29
05-04-2014;222,43;228,34;228,34;228,34;228,34;229,28;233,4;232,48;211,17;211,17;211,17;229,42;229,42;229,42;229,28;336,7;336,7
06-04-2014;212,76;212,94;212,94;212,94;212,94;236,3;212,86;212,94;206,91;206,91;206,91;221,68;221,68;221,68;236,3;339,02;339,02
07-04-2014;231,32;232,54;232,54;232,54;232,54;314,2;232,54;232,54;210,52;210,52;210,52;237,68;237,68;237,29;314,2;400,6;400,6
08-04-2014;213,93;212,96;212,96;212,96;212,96;270,18;208,58;212,96;206,09;206,09;206,09;222,89;222,89;222,09;270,18;406,55;406,55
09-04-2014;209,93;206,96;206,96;206,96;206,96;275,97;198,9;206,96;199,82;199,62;199,82;223,73;223,73;219,78;275,97;339,44;339,44
10-04-2014;239,96;267,59;267,59;267,59;267,59;295,38;303,17;302,97;200,65;200,65;200,65;271,14;271,14;240,58;295,38;316,56;316,56
11-04-2014;220,2;242,48;242,48;242,48;242,48;322,48;250,14;250,14;193,07;193,07;193,07;242,48;242,48;242,48;339,4;348,84;348,84
12-04-2014;199,18;205,27;205,27;205,27;205,27;212,56;212,54;212,54;192,4;192,4;192,4;207,08;207,08;207,08;213,61;213,61;213,61
13-04-2014;159,8;155,49;155,49;155,49;155,49;188,26;106,88;155,49;154,66;154,66;154,66;186,11;186,11;186,11;188,26;188,26;188,26
14-04-2014;189,15;190,31;190,31;190,31;190,31;333,41;170,67;190,31;178,42;178,42;178,42;200,8;200,8;200,8;333,41;402,83;402,83
15-04-2014;198,86;206,61;206,61;206,61;206,61;243,89;204,78;218,59;185,94;185,85;185,94;210,51;210,51;210,51;243,89;393,13;393,13
16-04-2014;212,1;228,49;228,49;228,49;235,21;274,42;286,93;286,93;190,59;190,59;190,59;228,49;228,49;228,49;274,42;444,54;444,54
17-04-2014;191,97;192,05;192,05;192,05;192,05;280,58;145,47;192,05;186,3;186,3;186,3;196,8;196,8;196,8;280,58;414,96;414,96
18-04-2014;192,47;194,83;194,83;194,83;194,83;224,31;194,83;194,83;187,55;187,55;187,55;195,79;195,79;196,93;224,5;356,28;356,28
19-04-2014;198,19;203,76;203,76;203,76;203,76;243,07;210,31;210,31;190,85;190,85;190,85;203,76;203,76;203,76;243,07;275,52;275,52
20-04-2014;179,69;178,97;178,97;178,97;178,97;208,58;178,97;178,97;177,86;177,86;177,86;186,54;186,54;187,79;211,69;248,43;248,43
21-04-2014;181,16;180,24;180,24;180,24;180,24;209,27;168,17;172,62;178,68;178,68;178,68;190,44;190,44;191,85;212,24;275,32;275,32
22-04-2014;199,31;207,98;207,98;207,98;207,98;255,99;227,46;227,46;186,76;186,76;186,76;208,6;208,6;209,31;255,99;410,02;410,02
23-04-2014;199,09;216,72;216,72;216,72;216,72;218,14;222,6;222,6;182,11;181,98;182,11;216,72;216,72;220,18;218,14;398,18;398,18
24-04-2014;211,44;235,55;235,55;235,55;235,55;235,55;262,19;262,19;195,33;177,43;195,33;235,55;235,55;235,55;235,55;398,73;398,73
25-04-2014;215,3;235,47;235,47;235,47;235,47;282,79;247,59;247,59;190,1;160,93;190,1;235,47;235,47;235,47;282,79;414,44;414,44
26-04-2014;200,15;222,38;222,38;222,38;222,38;222,38;228,8;228,8;177,84;177,84;177,84;222,38;222,38;222,38;222,38;279,3;279,3
27-04-2014;184,08;198,69;198,69;198,69;198,69;200,7;203,31;203,31;167,06;167,06;167,06;202,99;202,99;203,25;204,14;311,61;311,61
28-04-2014;215,96;238,51;238,51;238,51;238,51;253,57;328,52;328,52;170,85;167,44;170,85;238,51;238,51;238,51;253,57;391,41;391,41
29-04-2014;216,52;238,09;238,09;238,09;238,09;248,38;334,51;334,51;175,74;175,74;175,74;238,09;238,09;238,09;248,38;490,55;490,55
30-04-2014;229,96;298,38;298,38;298,38;298,38;298,38;299,46;299,46;174,86;174,66;174,86;297,65;297,65;297,65;298,38;512,02;512,02
01-05-2014;192,97;219,81;219,81;219,81;219,81;219,81;219,81;219,81;176,94;176,94;176,94;220,98;220,98;222,21;219,81;441,47;441,47
02-05-2014;216,33;257,47;257,47;257,47;257,47;257,47;257,6;257,6;175,73;175,73;175,73;257,86;257,86;257,86;257,47;349,04;349,04
03-05-2014;203,43;247,7;247,7;247,7;247,7;247,7;247,7;247,7;173,75;173,75;173,75;247,7;247,7;247,7;247,7;426,42;426,42
04-05-2014;208,97;247,16;247,16;247,16;247,16;247,16;246,92;247,16;175,95;175,95;175,95;247,5;247,5;247,5;247,16;387,77;387,77
05-05-2014;245,52;340,03;340,03;340,03;340,03;340,03;339,74;340,03;179,99;179,99;179,99;340,03;340,03;340,03;340,03;452,09;452,09
06-05-2014;239,52;274,22;274,22;274,22;274,22;326,35;271,42;274,22;183,88;181,62;183,88;273,46;273,46;273,46;326,35;530,72;530,72
07-05-2014;245,49;310,73;310,73;310,73;310,73;311,04;310,73;310,73;184,74;181,46;184,74;282,92;282,92;282,92;311,04;512,63;512,63
08-05-2014;252,42;316,47;316,47;316,47;316,47;316,47;308,52;316,47;195,6;195,6;195,6;316,47;316,47;316,47;316,47;497,65;497,65
09-05-2014;252,24;332,11;332,11;332,11;332,11;332,11;331,78;332,11;193;193;193;332,11;332,11;332,11;371,64;398,5;398,5
10-05-2014;217,22;256,22;256,22;256,22;256,22;256,22;228,5;256,22;195,37;195,37;195,37;256,22;256,22;256,22;273,9;360,5;360,5
11-05-2014;214,91;259,63;259,63;259,63;259,63;259,96;191,59;259,63;184,96;184,96;184,96;259,63;259,63;259,63;259,96;331,41;331,41
12-05-2014;265,68;357,89;357,89;357,89;357,89;366,96;262,77;357,89;196,71;196,71;196,71;357,89;357,89;357,89;366,96;378,46;378,46
13-05-2014;261,25;327,94;327,94;327,94;327,94;327,94;292,72;327,94;193,79;193,79;193,79;327,94;327,94;327,94;327,94;359,06;359,06
14-05-2014;257,91;347,37;347,37;347,37;347,37;347,37;252,68;347,37;197,62;197,62;197,62;347,37;347,37;347,37;347,37;353,86;353,86
15-05-2014;251,34;315,87;315,87;315,87;315,87;320,34;306,74;315,92;186,57;186,57;186,57;315,87;315,87;315,87;320,34;367,55;367,55
16-05-2014;231,19;284,71;284,71;284,71;284,73;309,1;262,2;284,74;170,54;170,54;170,54;284,24;284,24;284,24;309,1;366,85;366,85
17-05-2014;191,23;240,18;240,18;240,18;240,18;255,02;237,81;240,18;156,82;156,82;156,82;240,18;240,18;240,18;255,02;255,81;255,81
18-05-2014;179,73;233,88;233,88;233,88;233,88;236,08;224,15;233,88;147,71;147,71;147,71;233,88;233,88;233,88;236,08;325,97;325,97
19-05-2014;225,01;317,43;317,43;317,43;317,43;317,43;323,13;328,56;152,73;152,73;152,73;317,43;317,43;317,43;317,43;710,42;710,42
20-05-2014;225,54;320,21;320,21;320,21;321,58;320,21;327,14;327,4;141,69;141,69;141,69;299,39;299,39;299,39;320,21;417,36;417,36
21-05-2014;214,17;330,12;330,12;330,12;330,12;332,15;319,72;330,12;109,17;109,17;109,17;330,12;330,12;330,12;332,15;446,96;446,96
22-05-2014;198,36;254,6;254,6;254,6;254,6;329,46;270,84;270,84;125,28;125,28;125,28;254,6;254,6;254,6;329,46;441,67;441,67
23-05-2014;200,23;305,94;305,94;305,94;305,94;351,28;314,89;314,89;111,76;111,76;111,76;301,43;301,43;301,43;351,28;434,51;434,51
24-05-2014;152,46;237,3;237,3;237,3;237,3;241,23;237,64;237,74;78,27;78,27;78,27;237,3;237,3;237,3;241,23;308,75;308,75
25-05-2014;142,65;222,39;222,39;222,39;222,39;224,22;222,39;222,39;101,95;101,95;101,95;222,39;222,39;222,39;224,22;394,47;394,47
26-05-2014;228,17;419,75;419,75;419,75;419,75;438,3;419,75;419,75;126,91;126,91;126,91;331,56;331,56;331,56;438,3;573,38;573,38
27-05-2014;210,47;295,27;295,27;295,27;295,27;354,71;272,95;295,27;137,23;137,23;137,23;290,17;290,17;290,17;354,71;424,99;424,99
28-05-2014;205,01;264,99;264,99;264,99;264,99;333,74;230,04;264,99;142,04;142,04;142,04;254,57;254,57;254,57;333,74;379,48;379,48
29-05-2014;169,11;242,43;242,43;242,43;242,43;242,43;234,49;242,43;127,04;127,04;127,04;241,16;241,16;241,16;242,43;487,66;487,66
30-05-2014;207,6;284,35;284,35;284,35;284,35;284,35;284,35;284,35;129,07;129,07;129,07;276,96;276,96;276,96;284,35;498,4;498,4
31-05-2014;151,77;219,43;219,43;219,43;219,43;219,43;187,64;219,43;128,99;128,99;128,99;219,43;219,43;219,43;219,43;419,46;419,46
01-06-2014;157,75;213,47;213,47;213,47;213,47;213,47;213,47;213,47;128,19;128,19;128,19;212,85;212,85;212,85;213,47;266,83;266,83
02-06-2014;231,67;317,38;317,38;317,38;317,38;413,36;317,38;317,38;138,29;138,29;137,82;317,38;317,38;303,35;413,36;551,82;551,82
03-06-2014;236,41;347,08;347,08;347,08;347,08;347,08;348,82;348,82;137,76;137,76;137,76;328,01;328,01;278,73;347,08;710,5;710,5
04-06-2014;231,26;327,02;327,02;327,02;327,02;327,02;327,02;327,02;134,61;134,61;134,61;324,41;324,41;282,06;327,02;695,05;695,05
05-06-2014;213,15;281,58;281,58;281,58;281,58;310,56;263,75;281,58;134,58;134,58;134,58;281,58;281,58;257,31;310,56;813,37;813,37
06-06-2014;200,71;253,17;253,17;253,17;253,17;348,83;253,59;254,03;132,5;132,5;132,44;251,3;251,3;251,3;348,83;519,72;519,72
07-06-2014;167,28;233,43;233,43;233,43;233,43;268,86;235,32;235,32;130,03;130,04;130,03;233,27;233,27;232,73;268,86;272,12;272,12
08-06-2014;153,08;203,57;203,57;203,57;203,57;234,73;204,13;204,13;128,99;128,99;128,99;202,61;202,61;202,61;234,73;255,47;255,47
09-06-2014;188,74;246,2;246,2;246,22;246,22;381,93;232,96;246,22;129,07;129,07;129,07;235,03;235,03;235,03;381,93;548,27;548,27
10-06-2014;208,35;267,2;267,2;274,03;274,03;274,03;271,15;279,13;136,22;136,22;136,22;255,33;255,33;244,7;274,03;513,06;513,06
11-06-2014;215,34;267,6;267,6;323,07;323,07;323,07;328,79;328,79;138,77;138,77;138,77;266,2;266,2;254,9;323,07;445,32;445,32
12-06-2014;215,75;285,91;285,91;293,89;293,89;293,89;294,27;295,3;135,82;135,82;135,82;278,54;278,54;252,83;293,89;359,95;359,95
13-06-2014;181,27;233,34;233,34;233,34;233,34;235,59;232,53;233,34;134,73;134,73;134,37;232,21;232,21;230,68;235,59;400,76;400,76
14-06-2014;152,43;205,6;205,6;205,6;205,6;205,6;197,5;205,6;133,9;133,92;133,9;205,6;205,6;205,6;205,6;431,4;431,4
15-06-2014;153,54;201,53;201,53;201,53;201,53;201,53;195,2;201,53;135,47;135,65;135,47;201,53;201,53;201,53;201,53;273,78;273,78
16-06-2014;206,67;254,96;254,96;283,48;283,48;283,48;263,13;285,95;141,52;141,52;141,52;254,96;254,96;250,92;283,48;411,74;411,74
17-06-2014;227,01;293,11;293,11;319,53;319,53;319,53;328,1;328,1;147,68;147,68;147,68;264,17;264,17;262,53;319,53;412,5;412,5
18-06-2014;218,38;264,19;264,19;276,49;276,49;276,49;280,68;301,07;151,27;151,27;151,27;264,07;264,07;262,87;276,49;390,78;390,78
19-06-2014;192,55;229,22;229,22;229,22;229,22;229,22;162,42;229,22;160,75;160,75;160,75;229,22;229,22;229,22;229,22;401,68;401,68
20-06-2014;184,12;206,6;206,6;206,6;206,6;206,6;205,52;206,6;167,67;167,67;167,67;206,6;206,6;206,6;206,6;314,5;314,5
21-06-2014;173,1;186,86;186,86;186,86;186,86;186,86;186,45;186,86;168,38;168,38;168,38;186,86;186,86;186,86;186,86;372,56;372,56
22-06-2014;168,09;187,13;187,13;187,13;187,13;187,13;174,82;187,13;160,6;160,6;160,6;187,13;187,13;187,13;187,13;448,51;448,51
23-06-2014;222,21;252,7;252,7;260,8;281,15;260,8;259,2;283,52;175,52;175,52;175,52;252,7;252,7;252,7;260,8;433,26;433,26
24-06-2014;252,15;295,36;295,36;327,11;329,61;327,11;332,03;331,5;187,76;187,76;187,76;282,35;282,35;282,35;327,11;426,77;426,77
25-06-2014;256,38;307,92;307,92;316,18;316,18;316,18;317,21;317,21;194,5;194,5;194,5;295,67;295,67;295,67;316,18;541,16;541,16
26-06-2014;256,64;327,44;327,44;329,7;331,04;424,09;329,63;332,37;210,73;210,73;210,73;295,41;295,41;295,41;424,09;488,77;488,77
27-06-2014;248,15;290,54;290,54;303,87;306,62;384,46;308,54;310,58;203,25;203,25;203,25;273,48;273,48;273,48;390,46;481,86;481,86
28-06-2014;226,48;255,51;255,51;255,51;255,51;283,52;261,02;261,59;195,71;196,44;195,71;255,16;255,16;255,16;283,52;392,55;392,55
29-06-2014;217,5;237,3;237,3;237,3;237,3;255,64;236,25;237,3;196,16;196,36;196,16;237,12;237,12;237,12;255,64;430,56;430,56
30-06-2014;251,76;276,32;276,32;276,32;276,32;405,88;289,48;289,48;205,16;205,25;205,16;268,88;268,88;268,88;496,13;515,85;515,85
01-07-2014;256,64;276,45;276,45;276,45;276,45;365,28;286,58;286,83;213,1;213,1;213,1;268,18;268,18;268,18;365,28;442,18;442,18
02-07-2014;250,28;267,68;267,68;267,68;267,68;304,92;280,59;280,59;220,45;220,45;220,45;262,54;262,54;262,54;402,83;462,65;462,65
03-07-2014;233,21;243,73;243,73;243,73;243,73;291,37;261,75;261,75;219,66;219,66;219,66;243,73;243,73;243,73;291,39;329,84;329,84
04-07-2014;236,51;246,01;246,01;246,01;246,01;301,79;270,04;270,04;217,99;217,99;217,99;246,01;246,01;246,01;301,79;323,35;323,35
